name,price,url
https://www.wildberries.ru/catalog/220790789/detail.aspx,4 007 ₽,Сервиз столовый обеденный Ethnic style на 4 персоны Коралл
https://www.wildberries.ru/catalog/171942174/detail.aspx,"Столовый сервиз на 4 персоны, набор посуды PlatesPlus",6 903 ₽
https://www.wildberries.ru/catalog/177354663/detail.aspx,8 678 ₽,"Столовый сервис, набор посуды 16 предметов, 4 персоны Маржа"
Столовый сервиз на 4 персоны из 16 предметов PlatesPlus,5 917 ₽,https://www.wildberries.ru/catalog/171942159/detail.aspx
7 292 ₽,Столовый сервиз из 16 предметов на 4 персоны PlatesPlus,https://www.wildberries.ru/catalog/221623954/detail.aspx
Столовый сервиз на 4 персоны из 16 предметов PlatesPlus,6 213 ₽,https://www.wildberries.ru/catalog/171942169/detail.aspx
https://www.wildberries.ru/catalog/171408126/detail.aspx,Набор посуды столовой на 2 персоны Хорекс,3 967 ₽
https://www.wildberries.ru/catalog/177473242/detail.aspx,"Столовый сервиз, набор посуды 16 предметов, 4 персоны Luthier",8 848 ₽
6 213 ₽,https://www.wildberries.ru/catalog/171942256/detail.aspx,столовый набор посуды на 4 персоны PlatesPlus
15 363 ₽,"Кофейный набор «Синий кант» Сильвия Набор кофейный «Тет-а-тет» Thun, фарфор, Чехия",https://www.wildberries.ru/catalog/188457902/detail.aspx
https://www.wildberries.ru/catalog/188457900/detail.aspx,18 869 ₽,"Кофейный набор «Морская волна» Констанция Набор кофейный «Тет-а-тет» Thun, фарфор, Чехия"
"Столовый сервиз на 4 персоны, обеденный сервиз PlatesPlus",7 298 ₽,https://www.wildberries.ru/catalog/171942144/detail.aspx
6 828 ₽,Столовый сервиз 16 предметов на 4 персоны PlatesPlus,https://www.wildberries.ru/catalog/171942281/detail.aspx
Чайный сервиз на 6 персон 14 предметов Lefard,https://www.wildberries.ru/catalog/179103707/detail.aspx,5 874 ₽
"Кофейный набор «Натали» Менуэт Набор кофейный «Тет-а-тет» Thun, фарфор, Чехия",https://www.wildberries.ru/catalog/188457901/detail.aspx,18 626 ₽
Чайный сервиз на 6 персон 14 предметов фарфор Lefard,6 057 ₽,https://www.wildberries.ru/catalog/140639568/detail.aspx
https://www.wildberries.ru/catalog/231096316/detail.aspx,Чайный сервиз набор из фарфора на 2 персоны 250 мл YNG,2 772 ₽
Столовый сервиз из стеклокерамики на 6 персон 13 предметов World Farfor,2 486 ₽,https://www.wildberries.ru/catalog/154352529/detail.aspx
2 808 ₽,https://www.wildberries.ru/catalog/231096352/detail.aspx,Чайный сервиз набор из фарфора на 2 персоны 280 мл YNG
Столовый сервиз 16 предметов на 4 персоны PlatesPlus,7 041 ₽,https://www.wildberries.ru/catalog/228286139/detail.aspx
7 231 ₽,Столовый сервиз из 16 предметов на 4 персоны PlatesPlus,https://www.wildberries.ru/catalog/228286112/detail.aspx
https://www.wildberries.ru/catalog/228286117/detail.aspx,Столовый сервиз из 16 предметов на 4 персоны PlatesPlus,7 335 ₽
Набор для чаепития на 6 персоны 15 предметов PS Farfor,4 540 ₽,https://www.wildberries.ru/catalog/197707424/detail.aspx
https://www.wildberries.ru/catalog/147027055/detail.aspx,5 624 ₽,"Чайный сервиз на 6 персон ""Прованс Лимоны"" Lefard"
https://www.wildberries.ru/catalog/154352549/detail.aspx,4 170 ₽,Столовый сервиз из стеклокерамики на 6 персон 19 предметов World Farfor
https://www.wildberries.ru/catalog/136290825/detail.aspx,2 374 ₽,"Чайный сервиз ""Ягодки"" с кружкой 250 мл на 6 персон Lenardi"
https://www.wildberries.ru/catalog/112489808/detail.aspx,6 334 ₽,Столовый сервиз фарфоровый на 6 персон набор посуды Laminis
4 864 ₽,Столовый сервиз из стеклокерамики на 6 персон 19 предметов World Farfor,https://www.wildberries.ru/catalog/154352540/detail.aspx
4 433 ₽,Чайный сервиз на 6 персон Lenardi,https://www.wildberries.ru/catalog/197719810/detail.aspx
Чайный сервиз на 6 персон фарфор с чайником ТД Астра,https://www.wildberries.ru/catalog/18248128/detail.aspx,7 844 ₽
